genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
M,SANDRO ALEX CRUZ DE OLIVEIRA,25/11/1972,65,0,3,35,0,13,"33.763,00",0,"180.454,37","31.017,32","47.899,43","24.298,17","37.183,26","10.998,80","4.916,86","23.515,41","625,12",0,0,0,0,0.0,0.0,0.0,69926.13,87036.26,87826.98,94352.24,97459.5,97459.5,103881.44,0,0,637942.05
M,RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,17/08/1970,79,12,1,17,9,8,"33.763,00",2,"302.640,34","20.866,77","42.973,86","57.877,87","42.187,85","35.887,63","21.876,48","14.050,68","4.363,86","559,91","61.674,63","320,80",0,111550.47,111395.79,111180.85,111301.37,111550.47,111320.37,110214.42,111550.47,111550.47,111550.47,0,0,1113165.15
M,JOSÉ WILSON SANTIAGO,10/06/1957,83,4,5,4,1,31,"33.763,00",0,"333.798,56","30.349,27","31.771,02","37.471,51","42.306,88","41.459,58","17.270,03","59.218,14","39.103,16","6.056,23","28.195,55","597,19",0,111538.45,111556.03,110472.05,111429.07,111316.59,111277.46,111311.9,111544.34,111544.34,111544.34,0,0,1113534.5699999998
M,JOSÉ CARLOS NUNES JÚNIOR,26/05/1955,77,15,0,1,0,0,"33.763,00",1,"382.926,48","34.876,44","34.076,57","52.451,67","56.019,27","49.235,77","38.194,51","39.063,35","26.889,26","23.042,46","27.389,17","1.688,01",0,111046.99,111046.99,111103.15,106832.08,111043.48,110100.74,111389.82,109743.83,107342.4,110590.73,0,0,1100240.21
M,WOLNEY QUEIROZ MACIEL,12/12/1972,82,10,0,2,5,33,"33.763,00",0,"283.872,71","15.044,01","25.762,61","38.421,71","30.994,45","66.224,67","21.880,28","15.898,60","18.340,68","27.414,61","23.755,87","135,22",0,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,0,0,1115321.9999999998
M,JOSÉ CERQUEIRA DE SANTANA NETO,30/03/1964,83,6,3,54,0,7,"33.763,00",0,"337.471,88","50.626,31","24.451,08","44.445,51","53.822,92","32.644,89","40.002,57","24.693,20","26.270,76","8.182,14","32.332,50",0,0,107824.82,108164.81,106195.45,109255.7,107442.69,107878.99,106497.6,106497.6,106497.6,106325.02,0,0,1072580.2799999998
M,JOSE VITOR DE RESENDE AGUIAR,01/11/1984,73,16,3,26,12,15,"33.763,00",2,"233.230,82","26.074,83","41.836,76","32.088,44","31.715,89","26.392,47","27.638,60","9.780,96","4.941,65","5.612,06","27.149,16",0,0,111586.81,108697.96,111507.97,111507.97,111165.15,111507.97,111507.97,111507.97,111507.97,111507.97,0,0,1112005.71
M,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,21/06/1978,75,10,7,9,4,22,"33.763,00",0,"356.842,77","38.999,73","33.224,73","52.793,19","47.568,26","57.184,71","29.897,60","36.352,08","15.418,42","9.981,12","34.877,93","545,00",0,111077.16,111077.16,107757.43,108634.49,107404.64,103768.48,108159.53,108272.04,111647.36,111647.36,0,0,1089445.6500000001
M,JOSÉ SILVA SOARES,11/05/1963,81,4,7,46,6,42,"33.763,00",1,"272.952,50","13.589,72","23.281,74","58.030,74","45.654,35","51.011,56","24.752,96","20.633,31","16.662,24","7.130,92","12.197,76","7,20",0,108014.11,108014.11,107883.21,103238.92,108831.65,109953.6,109039.66,111653.63,111653.63,110576.65,0,0,1088859.17
M,GILSON CARDOSO FAHUR,06/11/1963,92,0,0,27,0,2,"33.763,00",0,"235.826,05","26.338,65","13.404,82","31.325,22","52.086,32","24.388,06","22.309,23","29.172,80","14.543,32","12.015,50","7.852,59","2.389,54",0,66705.81,69549.81,73341.81,73341.81,73341.81,73341.81,73341.81,67133.94,66705.81,66705.81,0,0,703510.23
