genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,11/04/1984,53,35,4,0,0,3,"33.763,00",0,"406.013,67","47.717,67","50.310,81","47.454,50","20.489,75","41.030,40","35.713,64","41.489,54","36.464,07","37.465,47","41.866,90","6.010,92",0,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,0,0,1045548.64
F,SILVIA CRISTINA AMANCIO CHAGAS,15/01/1974,89,2,1,55,5,31,"33.763,00",0,"326.142,16","38.497,24","41.381,49","41.593,07","52.095,78","77.841,57","30.489,93","21.356,30","8.189,34","4.412,39","7.253,38","3.031,67",0,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,0,0,1112657.25
F,SAMIA DE SOUZA BOMFIM,22/08/1989,78,14,0,32,0,3,"33.763,00",0,"320.776,66","29.863,31","33.173,07","52.100,08","33.373,57","49.527,82","25.800,86","31.637,36","25.034,27","10.727,26","25.539,06","4.000,00",0,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,0,0,1089070.53
F,TEREZA CRISTINA CORREA DA COSTA DIAS,06/07/1954,63,2,4,59,1,6,"33.763,00",0,"153.213,89","0,04","21.629,55","17.413,02","24.574,99","29.064,98","17.058,41","14.118,74","24.831,46","4.522,70",0,0,0,0.0,0.0,1279.5,71166.6,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,0,0,682604.66
F,SORAYA ALENCAR DOS SANTOS,04/12/1958,90,2,0,29,0,16,"33.763,00",0,"247.739,60","30.377,64","25.882,69","44.839,17","32.605,66","18.501,89","34.461,17","25.720,88","19.262,46","5.904,46","9.654,69","528,89",0,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,0,0,1088262.38
F,LUIZA ERUNDINA DE SOUSA,30/11/1934,78,14,0,37,9,14,"33.763,00",0,"222.485,05","17.316,28","17.369,22","13.312,38","23.549,05","49.196,58","41.316,33","41.450,36","18.601,72","126,15","246,98",0,0,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,0,0,984473.0800000002
F,TABATA CLAUDIA AMARAL DE PONTES,14/11/1993,88,1,3,137,0,9,"33.763,00",1,"290.505,98","38.950,69","27.888,06","35.331,21","32.068,77","49.942,23","49.334,59","25.146,00","5.016,41","3.300,08","22.041,92","1.486,02",0,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,0,0,744732.36
F,VIVIANE DA COSTA REIS,05/08/1991,81,11,0,79,18,21,"33.763,00",1,"364.896,71","50.505,11","33.624,12","47.121,22","42.779,32","38.398,45","36.910,98","40.803,83","27.107,07","21.698,14","25.660,38","288,09",0,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.0,111423.0,111423.0,111423.0,0,0,1108885.8199999998
F,FABIANA SILVA DE SOUZA,09/01/1980,76,11,5,22,4,0,"33.763,00",0,"253.074,32","19.669,14","45.316,31","58.832,43","30.152,26","32.781,41","27.385,49","25.479,97","6.199,02","5.005,38","1.966,38","286,53",0,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,0,0,1113455.24
F,LUIZIANNE DE OLIVEIRA LINS,18/11/1968,82,7,3,5,6,10,"33.763,00",0,"394.965,38","43.009,21","49.188,28","62.832,39","40.398,85","50.556,05","27.655,84","25.583,94","56.182,22","8.648,41","30.543,49","366,70",0,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,0,0,1116014.4200000002
